site_id
AU-ASM
AU-Boy
AU-Cpr
AU-Cum
AU-DaS
AU-Dry
AU-GWW
AU-Lit
AU-Rgf
AU-Whr
AU-Wom
BE-Bra
BE-Lon
BE-Maa
BE-Vie
CA-Cbo
CA-DBB
CA-ER1
CH-Cha
CL-SDF
CZ-BK1
CZ-KrP
CZ-Lnz
CZ-RAJ
CZ-wet
DE-Geb
DE-Gri
DE-Hai
DE-HoH
DE-Kli
DE-Obe
DE-RuR
DE-RuS
DE-Tha
DK-Sor
ES-Abr
ES-Agu
ES-LJu
ES-LM1
ES-LM2
FI-Hyy
FI-Let
FI-Sii
FI-Var
FR-Aur
FR-Bil
FR-EM2
FR-FBn
FR-Gri
FR-Lam
FR-Pue
FR-Tou
IL-Yat
IT-BCi
IT-Lav
IT-Lsn
IT-MBo
IT-MtM
IT-MtP
IT-Ren
IT-SR2
IT-TrF
RU-Fy2
RU-Fyo
SE-Htm
SE-Lnn
SE-Nor
SE-Ros
SE-Svb
UK-AMo
US-ARM
US-Akn
US-BRG
US-BZB
US-BZF
US-BZS
US-Bar
US-Bi1
US-Bi2
US-CF1
US-EML
US-GLE
US-Hn2
US-Ho1
US-Ho2
US-ICh
US-ICs
US-ICt
US-Jo2
US-KFS
US-Kon
US-MMS
US-MOz
US-Me2
US-Me6
US-Mo2
US-Mo3
US-Mpj
US-NC3
US-NC4
US-Ne1
US-ONA
US-Pnp
US-Rls
US-Rms
US-Ro4
US-Ro5
US-Ro6
US-Rpf
US-Rwf
US-Rws
US-SP1
US-SRG
US-SRM
US-Seg
US-Ses
US-Sne
US-Syv
US-Ton
US-Tw1
US-Tw4
US-UMB
US-UMd
US-Vcm
US-Vcp
US-Whs
US-Wkg
US-xJR
US-xNG
US-xTA
US-xUN
